,origin_puma,dest_puma,od_counts
513,17_3203,17_3205,13080
514,17_3203,17_3207,17103
515,17_3203,17_3208,16878
516,17_3203,17_3209,13671
517,17_3203,17_3306,235
518,17_3203,17_3307,69
519,17_3203,17_3308,1639
520,17_3203,17_3309,1008
521,17_3203,17_3310,2528
522,17_3203,17_3401,1601
523,17_3203,17_3407,4611
524,17_3203,17_3408,176
525,17_3203,17_3409,1394
526,17_3203,17_3410,1164
527,17_3203,17_3411,241
528,17_3203,17_3412,33
529,17_3203,17_3413,25
530,17_3203,17_3414,25
531,17_3203,17_3415,2042
532,17_3203,17_3416,4071
533,17_3203,17_3417,11329
534,17_3203,17_3418,12021
535,17_3203,17_3419,12512
536,17_3203,17_3420,7276
537,17_3203,17_3421,2591
538,17_3203,17_3422,5277
539,17_3203,17_3501,16
540,17_3203,17_3502,16
541,17_3203,17_3503,125
542,17_3203,17_3504,624
543,17_3203,17_3520,277
544,17_3203,17_3521,61
545,17_3203,17_3522,52
546,17_3203,17_3523,23
547,17_3203,17_3527,27
548,17_3203,17_3530,14
549,17_3203,17_3601,154
550,17_3203,17_3602,823
551,17_3203,17_3700,1608
552,17_3204,17_3005,6114
553,17_3204,17_3007,4644
554,17_3204,17_3008,1908
555,17_3204,17_3009,2189
556,17_3204,17_3102,2308
557,17_3204,17_3105,5827
558,17_3204,17_3106,10514
559,17_3204,17_3107,3154
560,17_3204,17_3108,454
561,17_3204,17_3202,18557
562,17_3204,17_3203,14034
563,17_3204,17_3204,19756
564,17_3204,17_3205,34742
565,17_3204,17_3207,36043
566,17_3204,17_3208,18092
567,17_3204,17_3209,9572
568,17_3204,17_3306,154
569,17_3204,17_3307,225
570,17_3204,17_3308,1437
571,17_3204,17_3309,1149
572,17_3204,17_3310,2647
573,17_3204,17_3401,2751
574,17_3204,17_3407,12984
575,17_3204,17_3408,1477
576,17_3204,17_3409,5142
577,17_3204,17_3410,4067
578,17_3204,17_3411,570
579,17_3204,17_3412,100
580,17_3204,17_3413,66
581,17_3204,17_3414,111
582,17_3204,17_3415,2542
583,17_3204,17_3416,3145
584,17_3204,17_3417,5243
585,17_3204,17_3418,9662
586,17_3204,17_3419,27976
587,17_3204,17_3420,16462
588,17_3204,17_3421,2070
589,17_3204,17_3422,18476
590,17_3204,17_3501,17
591,17_3204,17_3502,304
592,17_3204,17_3503,237
593,17_3204,17_3504,982
594,17_3204,17_3520,1218
595,17_3204,17_3521,436
596,17_3204,17_3522,314
597,17_3204,17_3523,466
598,17_3204,17_3524,1338
599,17_3204,17_3525,425
600,17_3204,17_3526,1539
601,17_3204,17_3527,1037
602,17_3204,17_3528,1199
603,17_3204,17_3529,1306
604,17_3204,17_3530,177
605,17_3204,17_3531,115
606,17_3204,17_3532,24
607,17_3204,17_3601,302
608,17_3204,17_3602,1099
609,17_3204,17_3700,2323
610,17_3205,17_3005,8571
611,17_3205,17_3007,16857
612,17_3205,17_3008,7020
613,17_3205,17_3009,7356
614,17_3205,17_3102,341
615,17_3205,17_3105,1680
616,17_3205,17_3106,3611
617,17_3205,17_3107,319
618,17_3205,17_3108,13
619,17_3205,17_3202,14747
620,17_3205,17_3203,5606
621,17_3205,17_3204,5921
622,17_3205,17_3205,16653
623,17_3205,17_3207,37025
624,17_3205,17_3208,36869
625,17_3205,17_3209,9015
626,17_3205,17_3306,713
627,17_3205,17_3307,1195
628,17_3205,17_3308,2534
629,17_3205,17_3309,2756
630,17_3205,17_3310,3204
631,17_3205,17_3401,4175
632,17_3205,17_3407,6363
633,17_3205,17_3408,510
634,17_3205,17_3409,1831
635,17_3205,17_3410,627
636,17_3205,17_3411,28
637,17_3205,17_3412,39
638,17_3205,17_3413,21
639,17_3205,17_3414,23
640,17_3205,17_3415,2987
641,17_3205,17_3416,2536
642,17_3205,17_3417,13106
643,17_3205,17_3418,20628
644,17_3205,17_3419,25956
645,17_3205,17_3420,10874
646,17_3205,17_3421,1444
647,17_3205,17_3422,10352
648,17_3205,17_3501,124
649,17_3205,17_3502,501
650,17_3205,17_3503,873
651,17_3205,17_3504,876
652,17_3205,17_3520,328
653,17_3205,17_3521,448
654,17_3205,17_3522,506
655,17_3205,17_3523,625
656,17_3205,17_3524,194
657,17_3205,17_3525,150
658,17_3205,17_3526,72
659,17_3205,17_3527,132
660,17_3205,17_3528,4
661,17_3205,17_3529,9
662,17_3205,17_3532,4
663,17_3205,17_3601,385
664,17_3205,17_3602,1397
665,17_3205,17_3700,1634
666,17_3207,17_3005,8211
667,17_3207,17_3007,30121
668,17_3207,17_3008,17724
669,17_3207,17_3009,13549
670,17_3207,17_3102,314
671,17_3207,17_3105,1821
672,17_3207,17_3106,4038
673,17_3207,17_3107,435
674,17_3207,17_3108,20
675,17_3207,17_3202,10470
676,17_3207,17_3203,5141
677,17_3207,17_3204,5044
678,17_3207,17_3205,10676
679,17_3207,17_3207,33525
680,17_3207,17_3208,27275
681,17_3207,17_3209,10473
682,17_3207,17_3306,2165
683,17_3207,17_3307,3529
684,17_3207,17_3308,4622
685,17_3207,17_3309,6040
686,17_3207,17_3310,7316
687,17_3207,17_3401,4715
688,17_3207,17_3407,4104
689,17_3207,17_3408,275
690,17_3207,17_3409,1574
691,17_3207,17_3410,918
692,17_3207,17_3411,118
693,17_3207,17_3412,137
694,17_3207,17_3413,284
695,17_3207,17_3414,53
696,17_3207,17_3415,6072
697,17_3207,17_3416,14429
698,17_3207,17_3417,13741
699,17_3207,17_3418,12117
700,17_3207,17_3419,20830
701,17_3207,17_3420,18833
702,17_3207,17_3421,15913
703,17_3207,17_3422,15117
704,17_3207,17_3501,445
705,17_3207,17_3502,30
706,17_3207,17_3503,882
707,17_3207,17_3504,1303
708,17_3207,17_3520,1182
709,17_3207,17_3521,308
710,17_3207,17_3522,535
711,17_3207,17_3523,63
712,17_3207,17_3524,212
713,17_3207,17_3525,129
714,17_3207,17_3526,130
715,17_3207,17_3527,37
716,17_3207,17_3528,5
717,17_3207,17_3529,7
718,17_3207,17_3530,5
719,17_3207,17_3531,5
720,17_3207,17_3532,11
721,17_3207,17_3601,989
722,17_3207,17_3602,4034
723,17_3207,17_3700,1691
724,17_3208,17_3005,9013
725,17_3208,17_3007,23997
726,17_3208,17_3008,8441
727,17_3208,17_3009,11824
728,17_3208,17_3102,81
729,17_3208,17_3105,343
730,17_3208,17_3106,439
731,17_3208,17_3107,42
732,17_3208,17_3108,49
733,17_3208,17_3202,8544
734,17_3208,17_3203,3028
735,17_3208,17_3204,1823
736,17_3208,17_3205,6383
737,17_3208,17_3207,18877
738,17_3208,17_3208,24279
739,17_3208,17_3209,9271
740,17_3208,17_3306,2261
741,17_3208,17_3307,3599
742,17_3208,17_3308,4131
743,17_3208,17_3309,8345
744,17_3208,17_3310,10238
745,17_3208,17_3401,4366
746,17_3208,17_3407,2132
747,17_3208,17_3408,83
748,17_3208,17_3409,796
749,17_3208,17_3410,301
750,17_3208,17_3411,52
751,17_3208,17_3412,24
752,17_3208,17_3413,20
753,17_3208,17_3414,22
754,17_3208,17_3415,6772
755,17_3208,17_3416,20734
756,17_3208,17_3417,9917
757,17_3208,17_3418,9560
758,17_3208,17_3419,8838
759,17_3208,17_3420,17770
760,17_3208,17_3421,24795
761,17_3208,17_3422,5372
762,17_3208,17_3501,1202
763,17_3208,17_3502,120
764,17_3208,17_3503,1954
765,17_3208,17_3504,1277
766,17_3208,17_3520,831
767,17_3208,17_3521,260
768,17_3208,17_3522,390
769,17_3208,17_3523,32
770,17_3208,17_3524,5
