,origin_puma,dest_puma,od_counts,color
658,06_1305,06_8102,1706,green
659,06_1305,06_8103,4760,green
660,06_1305,06_8104,4917,green
661,06_1305,06_8105,5221,lime
662,06_1305,06_8106,3073,green
663,06_1305,06_8501,666,green
664,06_1305,06_8502,428,green
665,06_1305,06_8503,248,green
666,06_1305,06_8504,379,green
667,06_1305,06_8505,82,green
668,06_1305,06_8506,80,green
669,06_1305,06_8507,207,green
670,06_1305,06_8508,144,green
671,06_1305,06_8509,93,green
672,06_1305,06_8510,79,green
673,06_1305,06_8511,129,green
674,06_1305,06_8512,50,green
675,06_1305,06_8513,91,green
676,06_1305,06_8514,85,green
677,06_1305,06_8701,22,green
678,06_1306,06_101,12070,yellow
679,06_1306,06_102,16388,yellow
680,06_1306,06_103,7272,lime
681,06_1306,06_104,8562,lime
682,06_1306,06_105,3180,green
683,06_1306,06_106,793,green
684,06_1306,06_107,302,green
685,06_1306,06_108,327,green
686,06_1306,06_109,338,green
687,06_1306,06_110,535,green
688,06_1306,06_1301,19804,yellow
689,06_1306,06_1302,17221,yellow
690,06_1306,06_1303,6510,lime
691,06_1306,06_1304,5604,lime
692,06_1306,06_1305,428,green
693,06_1306,06_1306,6752,lime
694,06_1306,06_1307,1207,green
695,06_1306,06_1308,397,green
696,06_1306,06_1309,301,green
697,06_1306,06_4101,15,green
698,06_1306,06_4102,98,green
699,06_1306,06_7501,1,green
700,06_1306,06_7502,81,green
701,06_1306,06_7506,20,green
702,06_1306,06_7507,24,green
703,06_1306,06_8101,47,green
704,06_1306,06_8102,83,green
705,06_1306,06_8103,144,green
706,06_1306,06_8104,169,green
707,06_1306,06_8105,113,green
708,06_1306,06_8106,142,green
709,06_1306,06_8501,157,green
710,06_1306,06_8502,196,green
711,06_1306,06_8503,106,green
712,06_1306,06_8504,250,green
713,06_1306,06_8505,27,green
714,06_1306,06_8506,97,green
715,06_1306,06_8507,9,green
716,06_1306,06_8509,20,green
717,06_1306,06_8510,4,green
718,06_1306,06_8513,7,green
719,06_1306,06_8514,14,green
720,06_1307,06_101,3742,green
721,06_1307,06_102,12376,yellow
722,06_1307,06_103,5125,lime
723,06_1307,06_104,6538,lime
724,06_1307,06_105,2358,green
725,06_1307,06_106,425,green
726,06_1307,06_107,95,green
727,06_1307,06_108,88,green
728,06_1307,06_109,107,green
729,06_1307,06_110,227,green
730,06_1307,06_1301,2576,green
731,06_1307,06_1302,2491,green
732,06_1307,06_1303,2838,green
733,06_1307,06_1304,2444,green
734,06_1307,06_1305,167,green
735,06_1307,06_1306,3243,green
736,06_1307,06_1307,565,green
737,06_1307,06_1308,108,green
738,06_1307,06_1309,60,green
739,06_1307,06_4101,8,green
740,06_1307,06_4102,43,green
741,06_1307,06_7502,51,green
742,06_1307,06_7503,1,green
743,06_1307,06_7506,20,green
744,06_1307,06_7507,17,green
745,06_1307,06_8101,11,green
746,06_1307,06_8102,21,green
747,06_1307,06_8103,53,green
748,06_1307,06_8104,40,green
749,06_1307,06_8105,14,green
750,06_1307,06_8106,40,green
751,06_1307,06_8501,30,green
752,06_1307,06_8502,39,green
753,06_1307,06_8503,9,green
754,06_1307,06_8504,74,green
755,06_1307,06_8505,10,green
